20180824134248,10.0.0.2,54032,10.0.0.1,5001,3,0.0-1.0,1966080,15728640
20180824134249,10.0.0.2,54032,10.0.0.1,5001,3,1.0-2.0,1441792,11534336
20180824134250,10.0.0.2,54032,10.0.0.1,5001,3,2.0-3.0,1441792,11534336
20180824134251,10.0.0.2,54032,10.0.0.1,5001,3,3.0-4.0,1179648,9437184
20180824134252,10.0.0.2,54032,10.0.0.1,5001,3,4.0-5.0,1441792,11534336
20180824134253,10.0.0.2,54032,10.0.0.1,5001,3,5.0-6.0,1572864,12582912
20180824134254,10.0.0.2,54032,10.0.0.1,5001,3,6.0-7.0,1966080,15728640
20180824134255,10.0.0.2,54032,10.0.0.1,5001,3,7.0-8.0,1048576,8388608
20180824134256,10.0.0.2,54032,10.0.0.1,5001,3,8.0-9.0,1179648,9437184
20180824134257,10.0.0.2,54032,10.0.0.1,5001,3,9.0-10.0,1179648,9437184
20180824134258,10.0.0.2,54032,10.0.0.1,5001,3,10.0-11.0,1179648,9437184
20180824134259,10.0.0.2,54032,10.0.0.1,5001,3,11.0-12.0,1179648,9437184
20180824134300,10.0.0.2,54032,10.0.0.1,5001,3,12.0-13.0,1179648,9437184
20180824134301,10.0.0.2,54032,10.0.0.1,5001,3,13.0-14.0,1179648,9437184
20180824134302,10.0.0.2,54032,10.0.0.1,5001,3,14.0-15.0,1179648,9437184
20180824134303,10.0.0.2,54032,10.0.0.1,5001,3,15.0-16.0,1179648,9437184
20180824134304,10.0.0.2,54032,10.0.0.1,5001,3,16.0-17.0,1179648,9437184
20180824134305,10.0.0.2,54032,10.0.0.1,5001,3,17.0-18.0,1048576,8388608
20180824134306,10.0.0.2,54032,10.0.0.1,5001,3,18.0-19.0,1179648,9437184
20180824134307,10.0.0.2,54032,10.0.0.1,5001,3,19.0-20.0,1179648,9437184
20180824134308,10.0.0.2,54032,10.0.0.1,5001,3,20.0-21.0,1179648,9437184
20180824134309,10.0.0.2,54032,10.0.0.1,5001,3,21.0-22.0,1179648,9437184
20180824134310,10.0.0.2,54032,10.0.0.1,5001,3,22.0-23.0,1179648,9437184
20180824134311,10.0.0.2,54032,10.0.0.1,5001,3,23.0-24.0,1179648,9437184
20180824134313,10.0.0.2,54032,10.0.0.1,5001,3,24.0-25.0,2359296,18874368
20180824134314,10.0.0.2,54032,10.0.0.1,5001,3,25.0-26.0,1179648,9437184
20180824134315,10.0.0.2,54032,10.0.0.1,5001,3,26.0-27.0,1179648,9437184
20180824134316,10.0.0.2,54032,10.0.0.1,5001,3,27.0-28.0,1179648,9437184
20180824134317,10.0.0.2,54032,10.0.0.1,5001,3,28.0-29.0,1179648,9437184
20180824134318,10.0.0.2,54032,10.0.0.1,5001,3,29.0-30.0,1179648,9437184
20180824134319,10.0.0.2,54032,10.0.0.1,5001,3,30.0-31.0,1179648,9437184
20180824134320,10.0.0.2,54032,10.0.0.1,5001,3,31.0-32.0,1179648,9437184
20180824134321,10.0.0.2,54032,10.0.0.1,5001,3,32.0-33.0,1179648,9437184
20180824134322,10.0.0.2,54032,10.0.0.1,5001,3,33.0-34.0,1179648,9437184
20180824134323,10.0.0.2,54032,10.0.0.1,5001,3,34.0-35.0,1179648,9437184
20180824134324,10.0.0.2,54032,10.0.0.1,5001,3,35.0-36.0,1048576,8388608
20180824134325,10.0.0.2,54032,10.0.0.1,5001,3,36.0-37.0,1179648,9437184
20180824134326,10.0.0.2,54032,10.0.0.1,5001,3,37.0-38.0,1179648,9437184
20180824134327,10.0.0.2,54032,10.0.0.1,5001,3,38.0-39.0,1179648,9437184
20180824134328,10.0.0.2,54032,10.0.0.1,5001,3,39.0-40.0,1179648,9437184
20180824134329,10.0.0.2,54032,10.0.0.1,5001,3,40.0-41.0,1179648,9437184
20180824134330,10.0.0.2,54032,10.0.0.1,5001,3,41.0-42.0,1179648,9437184
20180824134330,10.0.0.2,54032,10.0.0.1,5001,3,42.0-43.0,1179648,9437184
20180824134331,10.0.0.2,54032,10.0.0.1,5001,3,43.0-44.0,1179648,9437184
20180824134332,10.0.0.2,54032,10.0.0.1,5001,3,44.0-45.0,1179648,9437184
20180824134333,10.0.0.2,54032,10.0.0.1,5001,3,45.0-46.0,1179648,9437184
20180824134334,10.0.0.2,54032,10.0.0.1,5001,3,46.0-47.0,1179648,9437184
20180824134335,10.0.0.2,54032,10.0.0.1,5001,3,47.0-48.0,1179648,9437184
20180824134336,10.0.0.2,54032,10.0.0.1,5001,3,48.0-49.0,1179648,9437184
20180824134337,10.0.0.2,54032,10.0.0.1,5001,3,49.0-50.0,1179648,9437184
20180824134338,10.0.0.2,54032,10.0.0.1,5001,3,50.0-51.0,1179648,9437184
20180824134339,10.0.0.2,54032,10.0.0.1,5001,3,51.0-52.0,1179648,9437184
20180824134340,10.0.0.2,54032,10.0.0.1,5001,3,52.0-53.0,1179648,9437184
20180824134341,10.0.0.2,54032,10.0.0.1,5001,3,53.0-54.0,1179648,9437184
20180824134342,10.0.0.2,54032,10.0.0.1,5001,3,54.0-55.0,1179648,9437184
20180824134343,10.0.0.2,54032,10.0.0.1,5001,3,55.0-56.0,1048576,8388608
20180824134344,10.0.0.2,54032,10.0.0.1,5001,3,56.0-57.0,1179648,9437184
20180824134345,10.0.0.2,54032,10.0.0.1,5001,3,57.0-58.0,1179648,9437184
20180824134346,10.0.0.2,54032,10.0.0.1,5001,3,58.0-59.0,1179648,9437184
20180824134347,10.0.0.2,54032,10.0.0.1,5001,3,59.0-60.0,1179648,9437184
20180824134347,10.0.0.2,54032,10.0.0.1,5001,3,0.0-60.3,74317824,9852592
