1535118708,s3-eth1,6046718.00,68916.00,6115634.00,68916,6046718,1073.00,1044.00,2117.00,1044,1073,0.00,0.00,0,0
1535118708,s1-eth2,69176.00,6055274.00,6124450.00,6055274,69176,1048.00,1071.00,2119.00,1071,1048,0.00,0.00,0,0
1535118708,s2-eth1,6055274.00,69176.00,6124450.00,69176,6055274,1071.00,1048.00,2119.00,1048,1071,0.00,0.00,0,0
1535118708,lo,2412.00,2412.00,4824.00,2412,2412,27.00,27.00,54.00,27,27,0.00,0.00,0,0
1535118708,s3-eth2,68520.00,6048364.00,6116884.00,6048364,68520,1038.00,1076.00,2114.00,1076,1038,0.00,0.00,0,0
1535118708,s1-eth1,6046392.00,69502.00,6115894.00,69502,6046392,1068.00,1053.00,2121.00,1053,1068,0.00,0.00,0,0
1535118708,s2-eth2,68916.00,6046718.00,6115634.00,6046718,68916,1044.00,1073.00,2117.00,1073,1044,0.00,0.00,0,0
1535118708,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535118708,total,18357408.00,18360362.00,36717768.00,18360362,18357408,6369.00,6392.00,12761.00,6392,6369,0.00,0.00,0,0
1535118709,s3-eth1,6052906.00,68376.00,6121282.00,68376,6052906,1101.00,1036.00,2137.00,1036,1101,0.00,0.00,0,0
1535118709,s1-eth2,68178.00,6050010.00,6118188.00,6050010,68178,1033.00,1101.00,2134.00,1101,1033,0.00,0.00,0,0
1535118709,s2-eth1,6050010.00,68178.00,6118188.00,68178,6050010,1101.00,1033.00,2134.00,1033,1101,0.00,0.00,0,0
1535118709,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535118709,s3-eth2,68640.00,6051458.00,6120098.00,6051458,68640,1040.00,1101.00,2141.00,1101,1040,0.00,0.00,0,0
1535118709,s1-eth1,6051458.00,67914.00,6119372.00,67914,6051458,1101.00,1029.00,2130.00,1029,1101,0.00,0.00,0,0
1535118709,s2-eth2,68376.00,6052906.00,6121282.00,6052906,68376,1036.00,1101.00,2137.00,1101,1036,0.00,0.00,0,0
1535118709,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535118709,total,18359568.00,18358842.00,36718408.00,18358842,18359568,6412.00,6401.00,12813.00,6401,6412,0.00,0.00,0,0
1535118710,s3-eth1,6048496.00,66594.00,6115090.00,66594,6048496,1100.00,1009.00,2109.00,1009,1100,0.00,0.00,0,0
1535118710,s1-eth2,66594.00,6050010.00,6116604.00,6050010,66594,1009.00,1101.00,2110.00,1101,1009,0.00,0.00,0,0
1535118710,s2-eth1,6050010.00,66594.00,6116604.00,66594,6050010,1101.00,1009.00,2110.00,1009,1101,0.00,0.00,0,0
1535118710,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535118710,s3-eth2,66594.00,6048496.00,6115090.00,6048496,66594,1009.00,1100.00,2109.00,1100,1009,0.00,0.00,0,0
1535118710,s1-eth1,6050010.00,66594.00,6116604.00,66594,6050010,1101.00,1009.00,2110.00,1009,1101,0.00,0.00,0,0
1535118710,s2-eth2,66594.00,6048496.00,6115090.00,6048496,66594,1009.00,1100.00,2109.00,1100,1009,0.00,0.00,0,0
1535118710,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535118710,total,18348298.00,18346784.00,36695080.00,18346784,18348298,6329.00,6328.00,12657.00,6328,6329,0.00,0.00,0,0
1535118711,s3-eth1,6056008.00,66594.00,6122602.00,66594,6056008,1104.00,1009.00,2113.00,1009,1104,0.00,0.00,0,0
1535118711,s1-eth2,66594.00,6048636.00,6115230.00,6048636,66594,1009.00,1102.00,2111.00,1102,1009,0.00,0.00,0,0
1535118711,s2-eth1,6048636.00,66594.00,6115230.00,66594,6048636,1102.00,1009.00,2111.00,1009,1102,0.00,0.00,0,0
1535118711,lo,1288.00,1288.00,2576.00,1288,1288,14.00,14.00,28.00,14,14,0.00,0.00,0,0
1535118711,s3-eth2,66664.00,6055938.00,6122602.00,6055938,66664,1010.00,1103.00,2113.00,1103,1010,0.00,0.00,0,0
1535118711,s1-eth1,6054564.00,66660.00,6121224.00,66660,6054564,1104.00,1010.00,2114.00,1010,1104,0.00,0.00,0,0
1535118711,s2-eth2,66594.00,6056008.00,6122602.00,6056008,66594,1009.00,1104.00,2113.00,1104,1009,0.00,0.00,0,0
1535118711,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535118711,total,18360348.00,18361718.00,36722064.00,18361718,18360348,6352.00,6351.00,12703.00,6351,6352,0.00,0.00,0,0
1535118712,s3-eth1,6050010.00,66870.00,6116880.00,66870,6050010,1101.00,1013.00,2114.00,1013,1101,0.00,0.00,0,0
1535118712,s1-eth2,66800.00,6055938.00,6122738.00,6055938,66800,1012.00,1103.00,2115.00,1103,1012,0.00,0.00,0,0
1535118712,s2-eth1,6055938.00,66800.00,6122738.00,66800,6055938,1103.00,1012.00,2115.00,1012,1103,0.00,0.00,0,0
1535118712,lo,1928.00,1928.00,3856.00,1928,1928,22.00,22.00,44.00,22,22,0.00,0.00,0,0
1535118712,s3-eth2,66804.00,6050010.00,6116814.00,6050010,66804,1012.00,1101.00,2113.00,1101,1012,0.00,0.00,0,0
1535118712,s1-eth1,6050080.00,66664.00,6116744.00,66664,6050080,1102.00,1010.00,2112.00,1010,1102,0.00,0.00,0,0
1535118712,s2-eth2,66870.00,6050010.00,6116880.00,6050010,66870,1013.00,1101.00,2114.00,1101,1013,0.00,0.00,0,0
1535118712,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535118712,total,18358430.00,18358220.00,36716648.00,18358220,18358430,6365.00,6362.00,12727.00,6362,6365,0.00,0.00,0,0
1535118713,s3-eth1,6050010.00,66660.00,6116670.00,66660,6050010,1101.00,1010.00,2111.00,1010,1101,0.00,0.00,0,0
1535118713,s1-eth2,66660.00,6050010.00,6116670.00,6050010,66660,1010.00,1101.00,2111.00,1101,1010,0.00,0.00,0,0
1535118713,s2-eth1,6050010.00,66660.00,6116670.00,66660,6050010,1101.00,1010.00,2111.00,1010,1101,0.00,0.00,0,0
1535118713,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1535118713,s3-eth2,66726.00,6050010.00,6116736.00,6050010,66726,1011.00,1101.00,2112.00,1101,1011,0.00,0.00,0,0
1535118713,s1-eth1,6050010.00,66660.00,6116670.00,66660,6050010,1101.00,1010.00,2111.00,1010,1101,0.00,0.00,0,0
1535118713,s2-eth2,66660.00,6050010.00,6116670.00,6050010,66660,1010.00,1101.00,2111.00,1101,1010,0.00,0.00,0,0
